home_team,away_team,home_goals,away_goals,result,season
Man City,West Ham,1,1,D,2007-2008
Liverpool,Aston Villa,2,2,D,2007-2008
Aston Villa,Blackburn,1,1,D,2007-2008
Arsenal,Newcastle,3,0,H,2007-2008
Bolton,Fulham,0,0,D,2007-2008
Middlesbrough,Wigan,1,0,H,2007-2008
Sunderland,Birmingham,2,0,H,2007-2008
Chelsea,Reading,1,0,H,2007-2008
Derby,Man City,1,1,D,2007-2008
West Ham,Liverpool,1,0,H,2007-2008
Everton,Tottenham,0,0,D,2007-2008
Man United,Portsmouth,2,0,H,2007-2008
Man City,Arsenal,1,3,A,2007-2008
Birmingham,Derby,1,1,D,2007-2008
Blackburn,Everton,0,0,D,2007-2008
Portsmouth,Chelsea,1,1,D,2007-2008
Reading,Bolton,0,2,A,2007-2008
Tottenham,Man United,1,1,D,2007-2008
Wigan,West Ham,1,0,H,2007-2008
Liverpool,Sunderland,3,0,H,2007-2008
Newcastle,Middlesbrough,1,1,D,2007-2008
Fulham,Aston Villa,2,1,H,2007-2008
Aston Villa,Newcastle,4,1,H,2007-2008
Bolton,Portsmouth,0,1,A,2007-2008
Derby,Tottenham,0,3,A,2007-2008
Everton,Reading,1,0,H,2007-2008
Middlesbrough,Fulham,1,0,H,2007-2008
Sunderland,Wigan,2,0,H,2007-2008
West Ham,Birmingham,1,1,D,2007-2008
Man United,Man City,1,2,A,2007-2008
Chelsea,Liverpool,0,0,D,2007-2008
Arsenal,Blackburn,2,0,H,2007-2008
Birmingham,Arsenal,2,2,D,2007-2008
Fulham,West Ham,0,1,A,2007-2008
Liverpool,Middlesbrough,3,2,H,2007-2008
Portsmouth,Sunderland,1,0,H,2007-2008
Wigan,Derby,2,0,H,2007-2008
Newcastle,Man United,1,5,A,2007-2008
Reading,Aston Villa,1,2,A,2007-2008
Blackburn,Bolton,4,1,H,2007-2008
Man City,Everton,0,2,A,2007-2008
Arsenal,Aston Villa,1,1,D,2007-2008
Birmingham,Tottenham,4,1,H,2007-2008
Derby,Sunderland,0,0,D,2007-2008
Fulham,Man United,0,3,A,2007-2008
Middlesbrough,Reading,0,1,A,2007-2008
Newcastle,Blackburn,0,1,A,2007-2008
West Ham,Chelsea,0,4,A,2007-2008
Man City,Wigan,0,0,D,2007-2008
Bolton,Liverpool,1,3,A,2007-2008
Everton,Portsmouth,3,1,H,2007-2008
Liverpool,West Ham,4,0,H,2007-2008
Blackburn,Fulham,1,1,D,2007-2008
Liverpool,Newcastle,3,0,H,2007-2008
Reading,Man City,2,0,H,2007-2008
Sunderland,Everton,0,1,A,2007-2008
Tottenham,West Ham,4,0,H,2007-2008
Wigan,Arsenal,0,0,D,2007-2008
Aston Villa,Middlesbrough,1,1,D,2007-2008
Portsmouth,Birmingham,4,2,H,2007-2008
Chelsea,Derby,6,1,H,2007-2008
Derby,Man United,0,1,A,2007-2008
Liverpool,Reading,2,1,H,2007-2008
Portsmouth,Aston Villa,2,0,H,2007-2008
Sunderland,Chelsea,0,1,A,2007-2008
West Ham,Blackburn,2,1,H,2007-2008
Arsenal,Middlesbrough,1,1,D,2007-2008
Fulham,Everton,1,0,H,2007-2008
Wigan,Bolton,1,0,H,2007-2008
Man City,Tottenham,2,1,H,2007-2008
Birmingham,Newcastle,1,1,D,2007-2008
Man United,Bolton,2,0,H,2007-2008
Tottenham,Chelsea,4,4,D,2007-2008
Tottenham,Portsmouth,2,0,H,2007-2008
Aston Villa,Sunderland,0,1,A,2007-2008
Blackburn,Wigan,3,1,H,2007-2008
Bolton,Man City,0,0,D,2007-2008
Middlesbrough,Derby,1,0,H,2007-2008
Newcastle,Fulham,2,0,H,2007-2008
Reading,Birmingham,2,1,H,2007-2008
Everton,West Ham,1,1,D,2007-2008
Man United,Liverpool,3,0,H,2007-2008
Chelsea,Arsenal,2,1,H,2007-2008
Birmingham,Man City,3,1,H,2007-2008
Bolton,Arsenal,2,3,A,2007-2008
Derby,Fulham,2,2,D,2007-2008
Portsmouth,Wigan,2,0,H,2007-2008
Reading,Blackburn,0,0,D,2007-2008
Sunderland,West Ham,2,1,H,2007-2008
Man United,Aston Villa,4,0,H,2007-2008
Chelsea,Middlesbrough,1,0,H,2007-2008
Tottenham,Newcastle,1,4,A,2007-2008
Liverpool,Everton,1,0,H,2007-2008
Arsenal,Liverpool,1,1,D,2007-2008
Aston Villa,Bolton,4,0,H,2007-2008
Blackburn,Tottenham,1,1,D,2007-2008
Fulham,Sunderland,1,3,A,2007-2008
Man City,Chelsea,0,2,A,2007-2008
Newcastle,Reading,3,0,H,2007-2008
Wigan,Birmingham,2,0,H,2007-2008
Middlesbrough,Man United,2,2,D,2007-2008
Everton,Derby,1,0,H,2007-2008
West Ham,Portsmouth,0,1,A,2007-2008
Birmingham,Everton,1,1,D,2007-2008
Bolton,West Ham,1,0,H,2007-2008
Derby,Aston Villa,0,6,A,2007-2008
Reading,Fulham,0,2,A,2007-2008
Sunderland,Man City,1,2,A,2007-2008
Tottenham,Middlesbrough,1,1,D,2007-2008
Portsmouth,Newcastle,0,0,D,2007-2008
Liverpool,Blackburn,3,1,H,2007-2008
Man United,Arsenal,2,1,H,2007-2008
Chelsea,Wigan,1,1,D,2007-2008
Everton,Chelsea,0,1,A,2007-2008
Arsenal,Reading,2,0,H,2007-2008
Fulham,Liverpool,0,2,A,2007-2008
Middlesbrough,Bolton,0,1,A,2007-2008
West Ham,Derby,2,1,H,2007-2008
Wigan,Tottenham,1,1,D,2007-2008
Blackburn,Man United,1,1,D,2007-2008
Aston Villa,Birmingham,5,1,H,2007-2008
Newcastle,Sunderland,2,0,H,2007-2008
Man City,Portsmouth,3,1,H,2007-2008
Chelsea,Man United,2,1,H,2007-2008
Birmingham,Liverpool,2,2,D,2007-2008
Man City,Fulham,2,3,A,2007-2008
Sunderland,Middlesbrough,3,2,H,2007-2008
Tottenham,Bolton,1,1,D,2007-2008
West Ham,Newcastle,2,2,D,2007-2008
Wigan,Reading,0,0,D,2007-2008
Portsmouth,Blackburn,0,1,A,2007-2008
Everton,Aston Villa,2,2,D,2007-2008
Derby,Arsenal,2,6,A,2007-2008
Man United,West Ham,4,1,H,2007-2008
Aston Villa,Wigan,0,2,A,2007-2008
Blackburn,Derby,3,1,H,2007-2008
Fulham,Birmingham,2,0,H,2007-2008
Middlesbrough,Portsmouth,2,0,H,2007-2008
Reading,Tottenham,0,1,A,2007-2008
Bolton,Sunderland,2,0,H,2007-2008
Arsenal,Everton,1,0,H,2007-2008
Liverpool,Man City,1,0,H,2007-2008
Newcastle,Chelsea,0,2,A,2007-2008
Birmingham,Blackburn,4,1,H,2007-2008
Chelsea,Bolton,1,1,D,2007-2008
Derby,Reading,0,4,A,2007-2008
Everton,Newcastle,3,1,H,2007-2008
Middlesbrough,Man City,8,1,H,2007-2008
Portsmouth,Fulham,0,1,A,2007-2008
Sunderland,Arsenal,0,1,A,2007-2008
Tottenham,Liverpool,0,2,A,2007-2008
West Ham,Aston Villa,2,2,D,2007-2008
Wigan,Man United,0,2,A,2007-2008
Arsenal,West Brom,1,0,H,2008-2009
Bolton,Stoke,3,1,H,2008-2009
Everton,Blackburn,2,3,A,2008-2009
Hull,Fulham,2,1,H,2008-2009
Middlesbrough,Tottenham,2,1,H,2008-2009
West Ham,Wigan,2,1,H,2008-2009
Sunderland,Liverpool,0,1,A,2008-2009
Chelsea,Portsmouth,4,0,H,2008-2009
Aston Villa,Man City,4,2,H,2008-2009
Man United,Newcastle,1,1,D,2008-2009
Blackburn,Hull,1,1,D,2008-2009
Liverpool,Middlesbrough,2,1,H,2008-2009
Newcastle,Bolton,1,0,H,2008-2009
Stoke,Aston Villa,3,2,H,2008-2009
Tottenham,Sunderland,1,2,A,2008-2009
West Brom,Everton,1,2,A,2008-2009
Fulham,Arsenal,1,0,H,2008-2009
Wigan,Chelsea,0,1,A,2008-2009
Man City,West Ham,3,0,H,2008-2009
Portsmouth,Man United,0,1,A,2008-2009
Bolton,West Brom,0,0,D,2008-2009
Everton,Portsmouth,0,3,A,2008-2009
Hull,Wigan,0,5,A,2008-2009
Middlesbrough,Stoke,2,1,H,2008-2009
West Ham,Blackburn,4,1,H,2008-2009
Arsenal,Newcastle,3,0,H,2008-2009
Chelsea,Tottenham,1,1,D,2008-2009
Sunderland,Man City,0,3,A,2008-2009
Aston Villa,Liverpool,0,0,D,2008-2009
Liverpool,Man United,2,1,H,2008-2009
Blackburn,Arsenal,0,4,A,2008-2009
Fulham,Bolton,2,1,H,2008-2009
Newcastle,Hull,1,2,A,2008-2009
Portsmouth,Middlesbrough,2,1,H,2008-2009
West Brom,West Ham,3,2,H,2008-2009
Wigan,Sunderland,1,1,D,2008-2009
Man City,Chelsea,1,3,A,2008-2009
Stoke,Everton,2,3,A,2008-2009
Tottenham,Aston Villa,1,2,A,2008-2009
Sunderland,Middlesbrough,2,0,H,2008-2009
Blackburn,Fulham,1,0,H,2008-2009
Liverpool,Stoke,0,0,D,2008-2009
West Ham,Newcastle,3,1,H,2008-2009
Bolton,Arsenal,1,3,A,2008-2009
West Brom,Aston Villa,1,2,A,2008-2009
Chelsea,Man United,1,1,D,2008-2009
Hull,Everton,2,2,D,2008-2009
Man City,Portsmouth,6,0,H,2008-2009
Tottenham,Wigan,0,0,D,2008-2009
Everton,Liverpool,0,2,A,2008-2009
Aston Villa,Sunderland,2,1,H,2008-2009
Fulham,West Ham,1,2,A,2008-2009
Man United,Bolton,2,0,H,2008-2009
Middlesbrough,West Brom,0,1,A,2008-2009
Newcastle,Blackburn,1,2,A,2008-2009
Stoke,Chelsea,0,2,A,2008-2009
Arsenal,Hull,1,2,A,2008-2009
Portsmouth,Tottenham,2,0,H,2008-2009
Wigan,Man City,2,1,H,2008-2009
Sunderland,Arsenal,1,1,D,2008-2009
West Brom,Fulham,1,0,H,2008-2009
Wigan,Middlesbrough,0,1,A,2008-2009
Blackburn,Man United,0,2,A,2008-2009
West Ham,Bolton,1,3,A,2008-2009
Chelsea,Aston Villa,2,0,H,2008-2009
Man City,Liverpool,2,3,A,2008-2009
Portsmouth,Stoke,2,1,H,2008-2009
Tottenham,Hull,0,1,A,2008-2009
Everton,Newcastle,2,2,D,2008-2009
Middlesbrough,Chelsea,0,5,A,2008-2009
Arsenal,Everton,3,1,H,2008-2009
Aston Villa,Portsmouth,0,0,D,2008-2009
Bolton,Blackburn,0,0,D,2008-2009
Fulham,Sunderland,0,0,D,2008-2009
Liverpool,Wigan,3,2,H,2008-2009
Man United,West Brom,4,0,H,2008-2009
Hull,West Ham,1,0,H,2008-2009
Stoke,Tottenham,2,1,H,2008-2009
Newcastle,Man City,2,2,D,2008-2009
Everton,Man United,1,1,D,2008-2009
Sunderland,Newcastle,2,1,H,2008-2009
West Brom,Hull,0,3,A,2008-2009
Blackburn,Middlesbrough,1,1,D,2008-2009
Chelsea,Liverpool,0,1,A,2008-2009
Man City,Stoke,3,0,H,2008-2009
Tottenham,Bolton,2,0,H,2008-2009
Wigan,Aston Villa,0,4,A,2008-2009
West Ham,Arsenal,0,2,A,2008-2009
Portsmouth,Fulham,1,1,D,2008-2009
Newcastle,West Brom,2,1,H,2008-2009
Aston Villa,Blackburn,3,2,H,2008-2009
Fulham,Wigan,2,0,H,2008-2009
Hull,Chelsea,0,3,A,2008-2009
Stoke,Sunderland,1,0,H,2008-2009
Arsenal,Tottenham,4,4,D,2008-2009
Bolton,Everton,0,1,A,2008-2009
Liverpool,Portsmouth,1,0,H,2008-2009
Man United,West Ham,2,0,H,2008-2009
Middlesbrough,Man City,2,0,H,2008-2009
Everton,Fulham,1,0,H,2008-2009
Chelsea,Sunderland,5,0,H,2008-2009
Man United,Hull,4,3,H,2008-2009
Middlesbrough,West Ham,1,1,D,2008-2009
Portsmouth,Wigan,1,2,A,2008-2009
Stoke,Arsenal,2,1,H,2008-2009
West Brom,Blackburn,2,2,D,2008-2009
Tottenham,Liverpool,2,1,H,2008-2009
Bolton,Man City,2,0,H,2008-2009
Newcastle,Aston Villa,2,0,H,2008-2009
Arsenal,Man United,2,1,H,2008-2009
Wigan,Stoke,0,0,D,2008-2009
Hull,Bolton,0,1,A,2008-2009
Sunderland,Portsmouth,1,2,A,2008-2009
West Ham,Everton,1,3,A,2008-2009
Liverpool,West Brom,3,0,H,2008-2009
Blackburn,Chelsea,0,2,A,2008-2009
Aston Villa,Middlesbrough,1,2,A,2008-2009
Man City,Tottenham,1,2,A,2008-2009
Fulham,Newcastle,2,1,H,2008-2009
Bolton,Liverpool,0,2,A,2008-2009
Arsenal,Aston Villa,0,2,A,2008-2009
Blackburn,Sunderland,1,2,A,2008-2009
Fulham,Tottenham,2,1,H,2008-2009
Man United,Stoke,5,0,H,2008-2009
Newcastle,Wigan,2,2,D,2008-2009
West Ham,Portsmouth,0,0,D,2008-2009
West Brom,Chelsea,0,3,A,2008-2009
Everton,Middlesbrough,1,1,D,2008-2009
Hull,Man City,2,2,D,2008-2009
Chelsea,Newcastle,0,0,D,2008-2009
Liverpool,Fulham,0,0,D,2008-2009
Man City,Arsenal,3,0,H,2008-2009
Middlesbrough,Bolton,1,3,A,2008-2009
Portsmouth,Hull,2,2,D,2008-2009
Stoke,West Brom,1,0,H,2008-2009
Aston Villa,Man United,0,0,D,2008-2009
Tottenham,Blackburn,1,0,H,2008-2009
Sunderland,West Ham,0,1,A,2008-2009
Wigan,Everton,1,0,H,2008-2009
Aston Villa,Fulham,0,0,D,2008-2009
Middlesbrough,Newcastle,0,0,D,2008-2009
Stoke,Hull,1,1,D,2008-2009
Sunderland,Bolton,1,4,A,2008-2009
Wigan,West Brom,2,1,H,2008-2009
Man City,Man United,0,1,A,2008-2009
Portsmouth,Blackburn,3,2,H,2008-2009
Tottenham,Everton,0,1,A,2008-2009
Chelsea,Arsenal,1,2,A,2008-2009
Liverpool,West Ham,0,0,D,2008-2009
Fulham,Man City,1,1,D,2008-2009
Arsenal,Wigan,1,0,H,2008-2009
Blackburn,Liverpool,1,3,A,2008-2009
Bolton,Chelsea,0,2,A,2008-2009
Hull,Middlesbrough,2,1,H,2008-2009
Newcastle,Stoke,2,2,D,2008-2009
Man United,Sunderland,1,0,H,2008-2009
West Brom,Portsmouth,1,1,D,2008-2009
Everton,Aston Villa,2,3,A,2008-2009
West Ham,Tottenham,0,2,A,2008-2009
Middlesbrough,Arsenal,1,1,D,2008-2009
Aston Villa,Bolton,4,2,H,2008-2009
Liverpool,Hull,2,2,D,2008-2009
Man City,Everton,0,1,A,2008-2009
Stoke,Fulham,0,0,D,2008-2009
Sunderland,West Brom,4,0,H,2008-2009
Wigan,Blackburn,3,0,H,2008-2009
Tottenham,Man United,0,0,D,2008-2009
Portsmouth,Newcastle,0,3,A,2008-2009
Chelsea,West Ham,1,1,D,2008-2009
Blackburn,Stoke,3,0,H,2008-2009
Bolton,Portsmouth,2,1,H,2008-2009
Fulham,Middlesbrough,3,0,H,2008-2009
Hull,Sunderland,1,4,A,2008-2009
West Ham,Aston Villa,0,1,A,2008-2009
West Brom,Man City,2,1,H,2008-2009
Newcastle,Tottenham,2,1,H,2008-2009
Arsenal,Liverpool,1,1,D,2008-2009
Everton,Chelsea,0,0,D,2008-2009
Stoke,Man United,0,1,A,2008-2009
Chelsea,West Brom,2,0,H,2008-2009
Portsmouth,West Ham,1,4,A,2008-2009
Tottenham,Fulham,0,0,D,2008-2009
Liverpool,Bolton,3,0,H,2008-2009
Man City,Hull,5,1,H,2008-2009
Middlesbrough,Everton,0,1,A,2008-2009
Sunderland,Blackburn,0,0,D,2008-2009
Wigan,Newcastle,2,1,H,2008-2009
Aston Villa,Arsenal,2,2,D,2008-2009
Newcastle,Liverpool,1,5,A,2008-2009
Arsenal,Portsmouth,1,0,H,2008-2009
Bolton,Wigan,0,1,A,2008-2009
Everton,Sunderland,3,0,H,2008-2009
Fulham,Chelsea,2,2,D,2008-2009
West Brom,Tottenham,2,0,H,2008-2009
West Ham,Stoke,2,1,H,2008-2009
Blackburn,Man City,2,2,D,2008-2009
Man United,Middlesbrough,1,0,H,2008-2009
Hull,Aston Villa,0,1,A,2008-2009
Aston Villa,West Brom,2,1,H,2008-2009
Arsenal,Bolton,1,0,H,2008-2009
Everton,Hull,2,0,H,2008-2009
Middlesbrough,Sunderland,1,1,D,2008-2009
Newcastle,West Ham,2,2,D,2008-2009
Stoke,Liverpool,0,0,D,2008-2009
Wigan,Tottenham,1,0,H,2008-2009
Man United,Chelsea,3,0,H,2008-2009
Man United,Wigan,1,0,H,2008-2009
Blackburn,Newcastle,3,0,H,2008-2009
Bolton,Man United,0,1,A,2008-2009
Chelsea,Stoke,2,1,H,2008-2009
Man City,Wigan,1,0,H,2008-2009
Sunderland,Aston Villa,1,2,A,2008-2009
West Brom,Middlesbrough,3,0,H,2008-2009
Hull,Arsenal,1,3,A,2008-2009
West Ham,Fulham,3,1,H,2008-2009
Tottenham,Portsmouth,1,1,D,2008-2009
Liverpool,Everton,1,1,D,2008-2009
Sunderland,Fulham,1,0,H,2008-2009
West Brom,Man United,0,5,A,2008-2009
Portsmouth,Aston Villa,0,1,A,2008-2009
Tottenham,Stoke,3,1,H,2008-2009
Chelsea,Middlesbrough,2,0,H,2008-2009
Man City,Newcastle,2,1,H,2008-2009
Wigan,Liverpool,1,1,D,2008-2009
Blackburn,Bolton,2,2,D,2008-2009
Everton,Arsenal,1,1,D,2008-2009
West Ham,Hull,2,0,H,2008-2009
Stoke,Man City,1,0,H,2008-2009
Arsenal,West Ham,0,0,D,2008-2009
Aston Villa,Wigan,0,0,D,2008-2009
Bolton,Tottenham,3,2,H,2008-2009
Fulham,Portsmouth,3,1,H,2008-2009
Hull,West Brom,2,2,D,2008-2009
Middlesbrough,Blackburn,0,0,D,2008-2009
Man United,Everton,1,0,H,2008-2009
Newcastle,Sunderland,1,1,D,2008-2009
Liverpool,Chelsea,2,0,H,2008-2009
Man City,Middlesbrough,1,0,H,2008-2009
Blackburn,Aston Villa,0,2,A,2008-2009
Chelsea,Hull,0,0,D,2008-2009
Everton,Bolton,3,0,H,2008-2009
Sunderland,Stoke,2,0,H,2008-2009
West Brom,Newcastle,2,3,A,2008-2009
Wigan,Fulham,0,0,D,2008-2009
Portsmouth,Liverpool,2,3,A,2008-2009
Tottenham,Arsenal,0,0,D,2008-2009
West Ham,Man United,0,1,A,2008-2009
Portsmouth,Man City,2,0,H,2008-2009
Man United,Fulham,3,0,H,2008-2009
Aston Villa,Chelsea,0,1,A,2008-2009
Arsenal,Sunderland,0,0,D,2008-2009
Bolton,West Ham,2,1,H,2008-2009
Middlesbrough,Wigan,0,0,D,2008-2009
Stoke,Portsmouth,2,2,D,2008-2009
Man United,Blackburn,2,1,H,2008-2009
Fulham,West Brom,2,0,H,2008-2009
Liverpool,Man City,1,1,D,2008-2009
Newcastle,Everton,0,0,D,2008-2009
Hull,Tottenham,1,2,A,2008-2009
Everton,West Brom,2,0,H,2008-2009
Arsenal,Fulham,0,0,D,2008-2009
Chelsea,Wigan,2,1,H,2008-2009
Middlesbrough,Liverpool,2,0,H,2008-2009
Hull,Blackburn,1,2,A,2008-2009
West Ham,Man City,1,0,H,2008-2009
Bolton,Newcastle,1,0,H,2008-2009
Aston Villa,Stoke,2,2,D,2008-2009
Portsmouth,Chelsea,0,1,A,2008-2009
West Brom,Arsenal,1,3,A,2008-2009
Liverpool,Sunderland,2,0,H,2008-2009
Man City,Aston Villa,2,0,H,2008-2009
Newcastle,Man United,1,2,A,2008-2009
Stoke,Bolton,2,0,H,2008-2009
Wigan,West Ham,0,1,A,2008-2009
Blackburn,Everton,0,0,D,2008-2009
Fulham,Hull,0,1,A,2008-2009
Tottenham,Middlesbrough,4,0,H,2008-2009
Sunderland,Tottenham,1,1,D,2008-2009
Fulham,Blackburn,1,2,A,2008-2009
Man United,Liverpool,1,4,A,2008-2009
Arsenal,Blackburn,4,0,H,2008-2009
Bolton,Fulham,1,3,A,2008-2009
Everton,Stoke,3,1,H,2008-2009
Hull,Newcastle,1,1,D,2008-2009
Middlesbrough,Portsmouth,1,1,D,2008-2009
Sunderland,Wigan,1,2,A,2008-2009
Chelsea,Man City,1,0,H,2008-2009
Aston Villa,Tottenham,1,2,A,2008-2009
West Ham,West Brom,0,0,D,2008-2009
Portsmouth,Everton,2,1,H,2008-2009
Blackburn,West Ham,1,1,D,2008-2009
Fulham,Man United,2,0,H,2008-2009
Stoke,Middlesbrough,1,0,H,2008-2009
Tottenham,Chelsea,1,0,H,2008-2009
West Brom,Bolton,1,1,D,2008-2009
Newcastle,Arsenal,1,3,A,2008-2009
Wigan,Hull,1,0,H,2008-2009
Man City,Sunderland,1,0,H,2008-2009
Liverpool,Aston Villa,5,0,H,2008-2009
Blackburn,Tottenham,2,1,H,2008-2009
Arsenal,Man City,2,0,H,2008-2009
Bolton,Middlesbrough,4,1,H,2008-2009
Hull,Portsmouth,0,0,D,2008-2009
Newcastle,Chelsea,0,2,A,2008-2009
West Brom,Stoke,0,2,A,2008-2009
West Ham,Sunderland,2,0,H,2008-2009
Fulham,Liverpool,0,1,A,2008-2009
Everton,Wigan,4,0,H,2008-2009
Man United,Aston Villa,3,2,H,2008-2009
Liverpool,Blackburn,4,0,H,2008-2009
Chelsea,Bolton,4,3,H,2008-2009
Middlesbrough,Hull,3,1,H,2008-2009
Portsmouth,West Brom,2,2,D,2008-2009
Sunderland,Man United,1,2,A,2008-2009
Tottenham,West Ham,1,0,H,2008-2009
Wigan,Arsenal,1,4,A,2008-2009
Stoke,Newcastle,1,1,D,2008-2009
Aston Villa,Everton,3,3,D,2008-2009
Man City,Fulham,1,3,A,2008-2009
Aston Villa,West Ham,1,1,D,2008-2009
Middlesbrough,Fulham,0,0,D,2008-2009
Portsmouth,Bolton,1,0,H,2008-2009
Stoke,Blackburn,1,0,H,2008-2009
Sunderland,Hull,1,0,H,2008-2009
Tottenham,Newcastle,1,0,H,2008-2009
Man City,West Brom,4,2,H,2008-2009
Liverpool,Arsenal,4,4,D,2008-2009
Chelsea,Everton,0,0,D,2008-2009
Man United,Portsmouth,2,0,H,2008-2009
Bolton,Aston Villa,1,1,D,2008-2009
Everton,Man City,1,2,A,2008-2009
Fulham,Stoke,1,0,H,2008-2009
Hull,Liverpool,1,3,A,2008-2009
West Brom,Sunderland,3,0,H,2008-2009
West Ham,Chelsea,0,1,A,2008-2009
Man United,Tottenham,5,2,H,2008-2009
Arsenal,Middlesbrough,2,0,H,2008-2009
Blackburn,Wigan,2,0,H,2008-2009
Newcastle,Portsmouth,0,0,D,2008-2009
Middlesbrough,Man United,0,2,A,2008-2009
Chelsea,Fulham,3,1,H,2008-2009
Man City,Blackburn,3,1,H,2008-2009
Portsmouth,Arsenal,0,3,A,2008-2009
Stoke,West Ham,0,1,A,2008-2009
Tottenham,West Brom,1,0,H,2008-2009
Wigan,Bolton,0,0,D,2008-2009
Liverpool,Newcastle,3,0,H,2008-2009
Sunderland,Everton,0,2,A,2008-2009
Aston Villa,Hull,1,0,H,2008-2009
Blackburn,Portsmouth,2,0,H,2008-2009
Bolton,Sunderland,0,0,D,2008-2009
Everton,Tottenham,0,0,D,2008-2009
Fulham,Aston Villa,3,1,H,2008-2009
Hull,Stoke,1,2,A,2008-2009
West Brom,Wigan,3,1,H,2008-2009
West Ham,Liverpool,0,3,A,2008-2009
Man United,Man City,2,0,H,2008-2009
Arsenal,Chelsea,1,4,A,2008-2009
Newcastle,Middlesbrough,3,1,H,2008-2009
Wigan,Man United,1,2,A,2008-2009
Man United,Arsenal,0,0,D,2008-2009
Bolton,Hull,1,1,D,2008-2009
Everton,West Ham,3,1,H,2008-2009
Middlesbrough,Aston Villa,1,1,D,2008-2009
Newcastle,Fulham,0,1,A,2008-2009
Stoke,Wigan,2,0,H,2008-2009
Tottenham,Man City,2,1,H,2008-2009
West Brom,Liverpool,0,2,A,2008-2009
Chelsea,Blackburn,2,0,H,2008-2009
Portsmouth,Sunderland,3,1,H,2008-2009
Arsenal,Stoke,4,1,H,2008-2009
Aston Villa,Newcastle,1,0,H,2008-2009
Blackburn,West Brom,0,0,D,2008-2009
Fulham,Everton,0,2,A,2008-2009
Hull,Man United,0,1,A,2008-2009
Liverpool,Tottenham,3,1,H,2008-2009
Man City,Bolton,1,0,H,2008-2009
Sunderland,Chelsea,2,3,A,2008-2009
West Ham,Middlesbrough,2,1,H,2008-2009
Wigan,Portsmouth,1,0,H,2008-2009
Chelsea,Hull,2,1,H,2009-2010
Aston Villa,Wigan,0,2,A,2009-2010
Blackburn,Man City,0,2,A,2009-2010
Bolton,Sunderland,0,1,A,2009-2010
Portsmouth,Fulham,0,1,A,2009-2010
Stoke,Burnley,2,0,H,2009-2010
Wolves,West Ham,0,2,A,2009-2010
Everton,Arsenal,1,6,A,2009-2010
Man United,Birmingham,1,0,H,2009-2010
Tottenham,Liverpool,2,1,H,2009-2010
Sunderland,Chelsea,1,3,A,2009-2010
Wigan,Wolves,0,1,A,2009-2010
Birmingham,Portsmouth,1,0,H,2009-2010
Burnley,Man United,1,0,H,2009-2010
Hull,Tottenham,1,5,A,2009-2010
Liverpool,Stoke,4,0,H,2009-2010
Arsenal,Portsmouth,4,1,H,2009-2010
Birmingham,Stoke,0,0,D,2009-2010
Hull,Bolton,1,0,H,2009-2010
Man City,Wolves,1,0,H,2009-2010
Sunderland,Blackburn,2,1,H,2009-2010
Wigan,Man United,0,5,A,2009-2010
West Ham,Tottenham,1,2,A,2009-2010
Burnley,Everton,1,0,H,2009-2010
Fulham,Chelsea,0,2,A,2009-2010
Liverpool,Aston Villa,1,3,A,2009-2010
Chelsea,Burnley,3,0,H,2009-2010
Blackburn,West Ham,0,0,D,2009-2010
Bolton,Liverpool,2,3,A,2009-2010
Stoke,Sunderland,1,0,H,2009-2010
Tottenham,Birmingham,2,1,H,2009-2010
Wolves,Hull,1,1,D,2009-2010
Man United,Arsenal,2,1,H,2009-2010
Portsmouth,Man City,0,1,A,2009-2010
Everton,Wigan,2,1,H,2009-2010
Aston Villa,Fulham,2,0,H,2009-2010
Blackburn,Wolves,3,1,H,2009-2010
Liverpool,Burnley,4,0,H,2009-2010
Man City,Arsenal,4,2,H,2009-2010
Portsmouth,Bolton,2,3,A,2009-2010
Stoke,Chelsea,1,2,A,2009-2010
Sunderland,Hull,4,1,H,2009-2010
Wigan,West Ham,1,0,H,2009-2010
Tottenham,Man United,1,3,A,2009-2010
Birmingham,Aston Villa,0,1,A,2009-2010
Fulham,Everton,2,1,H,2009-2010
Burnley,Sunderland,3,1,H,2009-2010
Arsenal,Wigan,4,0,H,2009-2010
Aston Villa,Portsmouth,2,0,H,2009-2010
Bolton,Stoke,1,1,D,2009-2010
Hull,Birmingham,0,1,A,2009-2010
West Ham,Liverpool,2,3,A,2009-2010
Man United,Man City,4,3,H,2009-2010
Wolves,Fulham,2,1,H,2009-2010
Everton,Blackburn,3,0,H,2009-2010
Chelsea,Tottenham,3,0,H,2009-2010
Portsmouth,Everton,0,1,A,2009-2010
Birmingham,Bolton,1,2,A,2009-2010
Blackburn,Aston Villa,2,1,H,2009-2010
Liverpool,Hull,6,1,H,2009-2010
Stoke,Man United,0,2,A,2009-2010
Tottenham,Burnley,5,0,H,2009-2010
Wigan,Chelsea,3,1,H,2009-2010
Fulham,Arsenal,0,1,A,2009-2010
Sunderland,Wolves,5,2,H,2009-2010
Man City,West Ham,3,1,H,2009-2010
Bolton,Tottenham,2,2,D,2009-2010
Burnley,Birmingham,2,1,H,2009-2010
Hull,Wigan,2,1,H,2009-2010
Wolves,Portsmouth,0,1,A,2009-2010
Man United,Sunderland,2,2,D,2009-2010
Arsenal,Blackburn,6,2,H,2009-2010
Everton,Stoke,1,1,D,2009-2010
West Ham,Fulham,2,2,D,2009-2010
Chelsea,Liverpool,2,0,H,2009-2010
